track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_genre_id,predicted_genre,predicted_genre_prob,predicted_classical_prob,predicted_country_prob,predicted_electronic_prob,predicted_jazz_prob,predicted_pop_prob,predicted_rap_prob,predicted_rnb_prob,predicted_rock_prob
25agDEpgr54nRvyQJHmNmR,Di Biro,2M4mQMnLHQQXsFsRmTTqsR,Jana Garcia,2F6OKkFouf9ll5uYQ7myQB,166013,2020-05-22,43,0.5223325062034738,0.17313746065057714,4,0.39398157625383823,1,0.0384,0.925586011434168,0.007742290748898679,0.355,0.2514049411515216,0.34490948694913803,3,jazz,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5lyikKk6KFWfWCuDDir9Fx,Rockin' Around The Christmas Tree,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,0kCDFEzZ3zNnr5zdO0Bh08,116546,2017-11-29,71,0.532258064516129,0.7219307450157398,10,0.6825383828045035,0,0.0351,0.04169053903097798,0.0,0.27,0.8070194040928851,0.5501729039244885,7,rock,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2HO0uCyq8jOveEzvmo4JEu,Fly,64KEffDW9EtZ1y2vBYgq8T,Marshmello,3HuhZO6x7i7vXqjQfOEh7b,193777,2018-03-09,66,0.56575682382134,0.9181532004197274,4,0.8309109518935516,1,0.0387,0.0006496952823620956,0.9383259911894274,0.203,0.1273459866398049,0.5071192114104284,2,electronic,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0zMzyHAeMvwq5CRstru1Fp,Lost Boy,2WzaAvm2bBCf4pEhyuDgCY,Ruth B.,6FgtuX3PtiB5civjHYhc52,276066,2017-05-05,72,0.5111662531017369,0.1080797481636936,7,0.6122006141248719,1,0.0496,0.9816513452851373,0.0,0.0858,0.3563779026614357,0.4364193504719477,3,jazz,0.9523809523809523,0.047619047619047616,0.0,0.0,0.9523809523809523,0.0,0.0,0.0,0.0
0cMcFcm3YvB8o1yKkYNv0a,"Malay Mo, Tayo",7LvDTuFCBv08xm6u1pOMK0,TJ Monterde,401eCisGwwn6mkEi5A21Iw,274291,2019-11-14,58,0.4665012406947891,0.18887722980062957,4,0.5125076765609006,1,0.0292,0.9398571873235058,0.008513215859030837,0.0816,0.23974127876153112,0.45037472772246767,3,jazz,0.9523809523809523,0.047619047619047616,0.0,0.0,0.9523809523809523,0.0,0.0,0.0,0.0
6G61EqJgoEJhWaBT34jMyW,hoax,06HL4z0CvFAxyc27GXpf02,Taylor Swift,0xS0iOtxQRoJvfcFcJA5Gv,220042,2020-07-24,47,0.6054590570719602,0.16369359916054568,8,0.3760491299897646,1,0.0415,0.9847094544042811,4.2511013215859036e-06,0.133,0.41787721344502177,0.4076286934370347,3,jazz,0.9523809523809523,0.047619047619047616,0.0,0.0,0.9523809523809523,0.0,0.0,0.0,0.0
3xXBsjrbG1xQIm1xv1cKOt,One More Light,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,5Eevxp2BCbWq25ZdiXRwYd,255066,2017-05-19,75,0.5198511166253101,0.18363064008394545,8,0.5398976458546572,1,0.0311,0.9215085326086431,0.0,0.0897,0.14325098080797372,0.19317244859031002,3,jazz,0.9523809523809523,0.047619047619047616,0.0,0.0,0.9523809523809523,0.0,0.0,0.0,0.0
29xs643Q96uQLD8f7SxYYw,Sa'yo,4nGp682WMiKS4X217kPw8C,Silent Sanctuary,4xxRoePLdITFIhrzUhmOaQ,253360,2013-06-11,63,0.4875930521091812,0.0677859391395593,5,0.46288638689866923,1,0.0343,0.8114166043194669,0.0,0.218,0.3521365708832574,0.1626281396522231,3,jazz,0.9523809523809523,0.047619047619047616,0.0,0.0,0.9523809523809523,0.0,0.0,0.0,0.0
02WacdrRpm4zlP8H7X6bnQ,Dancing On My Own,6ydoSd3N2mwgwBHtF6K7eX,Calum Scott,5Hq4LcmCQ6BP3kM8J5lgga,260004,2016-06-03,2,0.5384615384615383,0.1563483735571878,1,0.6327123848515864,1,0.0332,0.8674819381704363,2.114537444933921e-05,0.0855,0.16763863853249922,0.3667470680170811,3,jazz,0.9523809523809523,0.0,0.0,0.0,0.9523809523809523,0.0,0.0,0.0,0.047619047619047616
5T8EDUDqKcs6OSOwEsfqG7,Don't Stop Me Now - Remastered 2011,1dfeR4HaWDbWqFHLkxsg1d,Queen,2yuTRGIackbcReLUXOYBqU,209413,1978-11-10,84,0.477667493796526,0.8845750262329487,5,0.7768270214943704,1,0.17,0.048418379093094294,0.00019383259911894275,0.7759999999999999,0.6087371434630473,0.6382246889575308,7,rock,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.9523809523809523
